1/12/2024 13:25,food,Pizza,expense,301.75
1/12/2024 13:25,other,From kumara,income,200
1/11/2024 14:07,food,Lunch with not preethi,expense,135.5
1/10/2024 14:04,food,Friday snacks with preethi gang,expense,106
1/8/2024 13:46,other,From gowdham,income,260
1/8/2024 13:45,food,Lunch with gowdham,expense,535.3
1/8/2024 13:38,household,Rent,expense,4580
1/7/2024 13:51,food,Coffee + biscuit,expense,15
1/6/2024 21:30,other,From barath and shakur,income,440
1/6/2024 20:58,food,Ketch up,expense,20
1/6/2024 20:13,food,Dinner with roommate,expense,877.81
1/6/2024 14:22,food,Bingo,expense,10
1/6/2024 11:48,transportation,Rapido to pg,expense,42
1/5/2024 20:23,food,McDonald's with company,expense,211
1/5/2024 14:46,other,Lended money returned to vishnu,expense,40
1/5/2024 14:42,other,Lended money returned to kumara,expense,30
1/5/2024 14:42,food,Jan 2nd with shakur and barath,expense,354
1/5/2024 14:39,other,To gobi 1st 1/4th,expense,500
1/5/2024 14:37,other,To abijith and to vicky lend money returned,expense,500
1/5/2024 14:35,transportation,Refund for bus ticket,expense,60
1/5/2024 14:30,food,Lunch with company,expense,388
1/4/2024 22:11,Education,Arrear and reval fee,expense,1400
1/4/2024 22:10,salary,Salary,income,8000
1/4/2024 13:53,food,Lunch with company,expense,106
1/4/2024 8:01,other,To vicky,expense,80
1/4/2024 7:58,food,Sent to preethi,expense,107
1/3/2024 22:15,food,Dairy milk,expense,10
1/3/2024 21:54,other,From barath,income,201
1/3/2024 21:12,other,From gpay,income,5
1/3/2024 21:11,other,From shakur,income,140
1/3/2024 14:31,food,Lunch unlimited nv,expense,300
1/3/2024 14:30,other,From abi,income,300
1/2/2024 20:33,other,Tablet to gowdham,expense,8
1/2/2024 20:32,food,Dinner with barath,expense,200
1/2/2024 14:16,transportation,Train to vnr,expense,725
1/1/2024 21:46,food,Snacks,expense,85
1/1/2024 21:45,Allowance,From dad,income,1000
12/30/2023 14:10,food,To barath,expense,20
12/30/2023 13:56,transportation,Pg to office,expense,43
12/30/2023 13:36,other,From kumara,income,30
12/30/2023 12:43,food,Horlicks + kolakattai,expense,25
12/30/2023 12:38,transportation,Bommasandra to pg,expense,199
12/30/2023 12:37,other,From Deepak,income,250
12/30/2023 11:45,food,Water,expense,20
12/30/2023 11:45,other,From abi,income,20
12/30/2023 11:45,transportation,Rapido + toll,expense,286
12/30/2023 11:44,other,From Deepak,income,250
12/28/2023 13:42,food,Coffee and thattai,expense,14
12/27/2023 13:45,food,Lunch with barath,expense,115
12/27/2023 13:44,other,From vicky,income,80
12/27/2023 12:33,other,From ganesan,income,40
12/27/2023 12:33,food,Coconut water with stu,expense,50
12/25/2023 22:53,food,Dinner with barath,expense,504
12/25/2023 20:46,transportation,Cab,expense,306
12/25/2023 19:50,Self-development,Books,expense,400
12/25/2023 17:01,food,Corn,expense,30
12/25/2023 15:35,food,Water,expense,30
12/25/2023 13:32,food,Milk with bharath,expense,40
12/24/2023 21:49,social,Beer,expense,150
12/24/2023 14:35,food,Lunch with company,expense,262
12/23/2023 16:31,food,Lemon tea with company,expense,15
12/23/2023 13:51,food,Puffs and coffee,expense,32
12/21/2023 20:53,food,Dinner with barath,expense,239
12/21/2023 14:02,food,Puffs,expense,25
12/21/2023 11:43,food,Bun,expense,18
12/20/2023 19:23,food,Milk with bharath,expense,80
12/20/2023 19:22,transportation,Taxi,expense,80
12/20/2023 16:55,food,Snacks,expense,20
12/20/2023 15:29,food,Water,expense,20
12/20/2023 13:35,food,Lunch with barath,expense,85
12/20/2023 9:46,food,Milk with bharath,expense,40
12/19/2023 15:51,other,To siva,expense,100
12/18/2023 21:01,other,To kumara,expense,100
12/18/2023 21:01,other,To abijith,expense,200
12/18/2023 21:00,food,To rahul,expense,113
12/18/2023 21:00,Allowance,From dad,income,1000
12/18/2023 19:52,other,Lended money,income,400
12/18/2023 19:51,social,Spiderman ,expense,363.72
12/18/2023 14:19,food,Lunch,expense,160
12/17/2023 18:54,food,Milk with bharath,expense,70
12/17/2023 14:45,food,Lunch with company,expense,110
12/17/2023 8:35,other,Gave to gowdham,expense,50
12/16/2023 18:44,food,Egg,expense,30
